trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.01, 'e': 0.9130889403123083}",25,0,-111.47354521723123,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
43,False,"{'a': 0.01, 'e': 0.9089657496748851}",25,1,-186.8838652278663,"{0: 12, 1: 5, 2: 2, 3: 2, 4: 3}",1
44,False,"{'a': 0.01, 'e': 0.9047516632199634}",20,0,-193.4185318538953,"{0: 10, 1: 3, 2: 3, 3: 0, 4: 4}",0
45,False,"{'a': 0.01, 'e': 0.9004471023526769}",25,0,-51.994615062971604,"{0: 16, 1: 6, 2: 2, 3: 1, 4: 0}",0
46,False,"{'a': 0.01, 'e': 0.8960524975255252}",20,0,-77.83836124219248,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
47,False,"{'a': 0.01, 'e': 0.891568288195329}",30,0,-116.25135922713905,"{0: 17, 1: 5, 2: 7, 3: 0, 4: 1}",0
48,False,"{'a': 0.01, 'e': 0.8869949227792842}",25,0,-172.31087236256653,"{0: 10, 1: 8, 2: 4, 3: 1, 4: 2}",0
49,False,"{'a': 0.01, 'e': 0.8823328586101215}",25,0,-83.43673643982521,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
50,False,"{'a': 0.01, 'e': 0.8775825618903728}",25,15,-36.356029783458105,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
51,False,"{'a': 0.01, 'e': 0.8727445076457513}",20,0,-128.35527364844515,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
52,False,"{'a': 0.01, 'e': 0.8678191796776499}",20,2,-123.62259126967727,"{0: 8, 1: 5, 2: 3, 3: 0, 4: 2}",1
53,False,"{'a': 0.01, 'e': 0.862807070514761}",20,0,-81.6010089496829,"{0: 11, 1: 3, 2: 4, 3: 2, 4: 0}",0
54,False,"{'a': 0.01, 'e': 0.8577086813638242}",20,0,-84.30555427647505,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
55,False,"{'a': 0.01, 'e': 0.8525245220595057}",20,0,-57.66635351380555,"{0: 13, 1: 0, 2: 7, 3: 0, 4: 0}",0
56,False,"{'a': 0.01, 'e': 0.8472551110134161}",25,9,-54.74529134544053,"{0: 11, 1: 2, 2: 2, 3: 0, 4: 1}",1
57,False,"{'a': 0.01, 'e': 0.8419009751622687}",25,0,-184.07787868587477,"{0: 12, 1: 2, 2: 8, 3: 1, 4: 2}",0
58,False,"{'a': 0.01, 'e': 0.8364626499151869}",20,11,13.935686821470352,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
59,False,"{'a': 0.01, 'e': 0.8309406791001636}",35,0,-230.22205182626732,"{0: 17, 1: 4, 2: 11, 3: 0, 4: 3}",0
60,False,"{'a': 0.01, 'e': 0.8253356149096783}",25,0,-214.58586873441334,"{0: 14, 1: 2, 2: 4, 3: 1, 4: 4}",0
61,False,"{'a': 0.01, 'e': 0.8196480178454795}",30,0,-160.41819279896072,"{0: 19, 1: 3, 2: 5, 3: 0, 4: 3}",0
62,False,"{'a': 0.01, 'e': 0.8138784566625339}",20,0,-91.22870213358826,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
63,False,"{'a': 0.01, 'e': 0.8080275083121519}",20,0,-92.81987988502107,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
64,False,"{'a': 0.01, 'e': 0.8020957578842927}",30,0,-194.00175880157153,"{0: 16, 1: 5, 2: 5, 3: 1, 4: 3}",0
65,False,"{'a': 0.01, 'e': 0.7960837985490559}",20,0,-141.7140958593848,"{0: 11, 1: 5, 2: 1, 3: 0, 4: 3}",0
66,False,"{'a': 0.01, 'e': 0.7899922314973651}",20,0,-41.94941096622291,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
67,False,"{'a': 0.01, 'e': 0.7838216658808492}",25,0,-134.43857545772812,"{0: 13, 1: 5, 2: 5, 3: 0, 4: 2}",0
68,False,"{'a': 0.01, 'e': 0.7775727187509279}",30,20,-39.49297442376063,"{0: 6, 1: 0, 2: 3, 3: 1, 4: 0}",1
69,False,"{'a': 0.01, 'e': 0.7712460149971065}",30,0,-235.02462752736923,"{0: 17, 1: 1, 2: 7, 3: 1, 4: 4}",0
70,False,"{'a': 0.01, 'e': 0.7648421872844884}",20,0,-94.82479854767155,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
71,False,"{'a': 0.01, 'e': 0.7583618759905082}",20,0,-56.27932160994809,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
72,False,"{'a': 0.01, 'e': 0.751805729140895}",20,0,-65.36423331846638,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
73,False,"{'a': 0.01, 'e': 0.7451744023448704}",25,0,-137.44003202322963,"{0: 15, 1: 4, 2: 3, 3: 1, 4: 2}",0
74,False,"{'a': 0.01, 'e': 0.7384685587295879}",20,3,-94.57962858922659,"{0: 10, 1: 0, 2: 5, 3: 1, 4: 1}",1
75,False,"{'a': 0.01, 'e': 0.7316888688738209}",20,0,-71.39457456884983,"{0: 13, 1: 4, 2: 1, 3: 1, 4: 1}",0
76,False,"{'a': 0.01, 'e': 0.7248360107409052}",20,0,-106.3921815453917,"{0: 10, 1: 2, 2: 6, 3: 2, 4: 0}",0
77,False,"{'a': 0.01, 'e': 0.7179106696109433}",25,0,-123.72869909683331,"{0: 13, 1: 4, 2: 6, 3: 1, 4: 1}",0
78,False,"{'a': 0.01, 'e': 0.7109135380122773}",20,3,-73.77889925863171,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 1}",1
79,False,"{'a': 0.01, 'e': 0.7038453156522361}",20,0,-90.15088794851206,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
80,False,"{'a': 0.01, 'e': 0.6967067093471654}",20,0,-147.49266335389913,"{0: 7, 1: 5, 2: 5, 3: 2, 4: 1}",0
81,False,"{'a': 0.01, 'e': 0.689498432951747}",25,0,-111.4899756755864,"{0: 13, 1: 4, 2: 7, 3: 0, 4: 1}",0
82,False,"{'a': 0.01, 'e': 0.6822212072876135}",20,3,-6.007455435925797,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 0}",1
